kod_chu,DRUH,KOD_LOKAL,POLE,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0724089,Aconitum firmum subsp. moravicum,AFM162,6476c,2021-10-11,2025-08-20
CZ0724089,Aconitum firmum subsp. moravicum,AFM163,6576a,2021-08-19,2025-08-20
CZ0724089,Aconitum firmum subsp. moravicum,AFM164,6576a,2022-08-03,2022-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM165,6576a,2021-08-19,2021-08-19
CZ0724089,Aconitum firmum subsp. moravicum,AFM166,6576a,2024-08-25,2024-08-25
CZ0724089,Aconitum firmum subsp. moravicum,AFM167,6476c,2024-08-26,2024-08-26
CZ0724089,Aconitum firmum subsp. moravicum,AFM168,6576a,2023-08-03,2023-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM169,6576a,2024-08-14,2024-08-14
CZ0724089,Aconitum firmum subsp. moravicum,AFM170,6576a,2021-08-11,2025-08-13
CZ0724089,Aconitum firmum subsp. moravicum,AFM171,6575b,2021-08-25,2025-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM172,6575b,2021-08-25,2025-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM173,6575b,2022-08-08,2022-08-08
CZ0724089,Aconitum firmum subsp. moravicum,AFM174,6575b,2021-08-10,2021-08-10
CZ0724089,Aconitum firmum subsp. moravicum,AFM175,6575b,2024-08-13,2024-08-13
CZ0724089,Aconitum firmum subsp. moravicum,AFM177,6575b,2021-08-10,2021-08-10
CZ0724089,Aconitum firmum subsp. moravicum,AFM179,6476c,2023-10-12,2023-10-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM180,6576a,2022-08-04,2022-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM181,6576a,2023-08-02,2023-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM182,6576a,2021-08-11,2025-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM183,6576a,2022-08-08,2022-08-08
CZ0724089,Aconitum firmum subsp. moravicum,AFM184,6475d,2023-07-31,2023-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM185,6575b,2021-08-10,2025-08-05
CZ0724089,Aconitum firmum subsp. moravicum,AFM186,6575b,2022-08-08,2022-08-08
CZ0724089,Aconitum firmum subsp. moravicum,AFM187,6575b,2022-08-08,2025-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM188,6475d,2022-08-17,2022-08-17
CZ0724089,Aconitum firmum subsp. moravicum,AFM189,6575b,2022-08-01,2024-08-13
CZ0724089,Aconitum firmum subsp. moravicum,AFM190,6575b,2022-08-08,2025-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM191,6575b,2022-08-17,2023-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM192,6575a,2022-08-01,2022-08-01
CZ0724089,Aconitum firmum subsp. moravicum,AFM193,6576b,2021-08-02,2025-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM195,6575b,2021-07-21,2025-08-13
CZ0724089,Aconitum firmum subsp. moravicum,AFM196,6575b,2023-08-02,2023-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM197,6475d,2023-08-14,2023-08-14
CZ0724089,Aconitum firmum subsp. moravicum,AFM198,6475d,2023-07-31,2023-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM199,6576b,2022-07-29,2022-07-29
CZ0724089,Aconitum firmum subsp. moravicum,AFM200,6575b,2024-08-08,2024-08-08
CZ0724089,Aconitum firmum subsp. moravicum,AFM201,6576a,2021-08-19,2025-08-20
CZ0724089,Aconitum firmum subsp. moravicum,AFM202,6575b,2023-07-31,2023-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM203,6576a,2022-08-03,2022-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM204,6576d,2022-07-31,2022-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM205,6576d,2024-08-12,2024-08-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM206,6676b,2023-08-02,2023-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM207,6576a,2022-08-02,2022-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM208,6575b,2023-08-02,2023-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM209,6576a,2023-08-02,2023-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM210,6576a,2022-08-02,2022-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM211,6576a,2022-08-02,2022-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM212,6576a,2022-08-08,2022-08-08
CZ0724089,Aconitum firmum subsp. moravicum,AFM213,6575b,2022-08-08,2022-08-08
CZ0724089,Aconitum firmum subsp. moravicum,AFM214,6576a,2021-09-02,2025-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM215,6576a,2021-09-02,2025-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM216,6575b,2022-07-31,2022-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM217,6575b,2022-07-31,2022-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM218,6575b,2021-08-10,2025-08-05
CZ0724089,Aconitum firmum subsp. moravicum,AFM219,6576a,2021-09-01,2025-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM220,6576a,2022-08-02,2022-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM221,6576a,2022-08-02,2022-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM222,6576a,2022-08-02,2022-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM223,6576a,2022-08-02,2022-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM228,6576a,2021-09-02,2025-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM229,6576a,2021-09-02,2025-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM23,6575a,2005-07-01,2006-05-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM230,6576a,2021-09-01,2025-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM233,6575b,2023-08-02,2023-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM235,6575b,2023-08-02,2023-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM237,6575b,2024-09-06,2024-09-06
CZ0724089,Aconitum firmum subsp. moravicum,AFM238,6575b,2024-08-08,2024-08-08
CZ0724089,Aconitum firmum subsp. moravicum,AFM242,6575b,2022-08-12,2022-08-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM247,6575b,2023-07-31,2023-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM248,6575b,2023-08-02,2023-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM249,6575b,2023-08-01,2023-08-01
CZ0724089,Aconitum firmum subsp. moravicum,AFM25,6575a,2005-07-01,2006-05-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM250,6576c,2021-09-02,2025-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM251,6576c,2021-09-27,2025-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM252,6576a,2021-09-02,2025-08-14
CZ0724089,Aconitum firmum subsp. moravicum,AFM253,6576a,2025-11-20,2025-11-20
CZ0724089,Aconitum firmum subsp. moravicum,AFM26,6575b,2005-07-01,2005-07-01
CZ0724089,Aconitum firmum subsp. moravicum,AFM262,6575a,2022-08-01,2025-08-05
CZ0724089,Aconitum firmum subsp. moravicum,AFM263,6575b,2022-08-08,2025-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM264,6575b,2021-07-21,2023-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM265,6575a,2024-08-12,2024-08-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM266,6575b,2024-08-13,2024-08-13
CZ0724089,Aconitum firmum subsp. moravicum,AFM267,6575b,2024-09-21,2024-09-21
CZ0724089,Aconitum firmum subsp. moravicum,AFM268,6575b,2024-09-10,2024-09-10
CZ0724089,Aconitum firmum subsp. moravicum,AFM269,6476c,2024-08-24,2024-08-24
CZ0724089,Aconitum firmum subsp. moravicum,AFM27,6575b,2005-07-01,2006-05-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM270,6576a,2024-08-14,2024-08-14
CZ0724089,Aconitum firmum subsp. moravicum,AFM271,6576a,2024-08-14,2025-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM272,6576c,2023-07-27,2023-07-27
CZ0724089,Aconitum firmum subsp. moravicum,AFM273,6576a,2024-08-14,2024-08-14
CZ0724089,Aconitum firmum subsp. moravicum,AFM274,6576a,2023-07-27,2023-07-27
CZ0724089,Aconitum firmum subsp. moravicum,AFM275,6576a,2023-07-27,2023-07-27
CZ0724089,Aconitum firmum subsp. moravicum,AFM276,6576a,2023-07-27,2023-07-27
CZ0724089,Aconitum firmum subsp. moravicum,AFM277,6575b,2021-08-10,2025-08-05
CZ0724089,Aconitum firmum subsp. moravicum,AFM278,6576c,2021-09-27,2025-08-04
