kod_chu,DRUH,KOD_LOKAL,POLE,ROK,ID_IND,SKUPINA,NAZEV_LOK,ID_ND_AKCE,ID_ND_LOK,DATUM,CILMON,TYP_IND,KLIC,UROVEN,IND_GRP,JEDNOTKA,LIM_IND,LIM_INDLIST,STAV_IND,HOD_IND
CZ0214012,Rhinolophus hipposideros,jeskyně Racák,5456c,2015,CELKOVE_HODNOCENI,Letouni,jeskyně Racák,9547082,5835706,2015-08-14,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214012,Rhinolophus hipposideros,jeskyně Racák,5456c,2015,CELKOVE_SUM,Letouni,jeskyně Racák,9547082,5835706,2015-08-14,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214012,Rhinolophus hipposideros,jeskyně Racák,5456c,2015,POP_PRESENCE,Letouni,jeskyně Racák,9547082,5835706,2015-08-14,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214012,Rhinolophus hipposideros,Žďár u Mnichova Hradiště,5456c,2021,CELKOVE_HODNOCENI,Letouni,Žďár u Mnichova Hradiště,11746090,8273673,2021-07-15,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214012,Rhinolophus hipposideros,Žďár u Mnichova Hradiště,5456c,2021,CELKOVE_SUM,Letouni,Žďár u Mnichova Hradiště,11746090,8273673,2021-07-15,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214012,Rhinolophus hipposideros,Žďár u Mnichova Hradiště,5456c,2021,POP_PRESENCE,Letouni,Žďár u Mnichova Hradiště,11746090,8273673,2021-07-15,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214013,Rhinolophus hipposideros,5453,"96,""5453a""",2012,CELKOVE_HODNOCENI,Letouni,5453,9010824,1790809,2012-06-21,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214013,Rhinolophus hipposideros,5453,"96,""5453a""",2012,CELKOVE_SUM,Letouni,5453,9010824,1790809,2012-06-21,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214013,Rhinolophus hipposideros,5453,"96,""5453a""",2012,POP_PRESENCE,Letouni,5453,9010824,1790809,2012-06-21,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214013,Rhinolophus hipposideros,Dražejov u Dubé,5453c,2019,CELKOVE_HODNOCENI,Letouni,Dražejov u Dubé,10857097,7171072,2019-05-24,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214013,Rhinolophus hipposideros,Dražejov u Dubé,5453c,2019,CELKOVE_SUM,Letouni,Dražejov u Dubé,10857097,7171072,2019-05-24,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214013,Rhinolophus hipposideros,Dražejov u Dubé,5453c,2019,POP_PRESENCE,Letouni,Dražejov u Dubé,10857097,7171072,2019-05-24,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214013,Rhinolophus hipposideros,"Houska, sklepy zámku Houska",5553b,2025,CELKOVE_HODNOCENI,Letouni,"Houska, sklepy zámku Houska",13455987,1009098,2025-01-23,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214013,Rhinolophus hipposideros,"Houska, sklepy zámku Houska",5553b,2025,CELKOVE_SUM,Letouni,"Houska, sklepy zámku Houska",13455987,1009098,2025-01-23,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214013,Rhinolophus hipposideros,"Houska, sklepy zámku Houska",5553b,2025,POP_PRESENCE,Letouni,"Houska, sklepy zámku Houska",13455987,1009098,2025-01-23,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214013,Rhinolophus hipposideros,Klemperka,5553c,2025,CELKOVE_HODNOCENI,Letouni,Klemperka,13732460,10769517,2025-02-11,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214013,Rhinolophus hipposideros,Klemperka,5553c,2025,CELKOVE_SUM,Letouni,Klemperka,13732460,10769517,2025-02-11,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214013,Rhinolophus hipposideros,Klemperka,5553c,2025,POP_PRESENCE,Letouni,Klemperka,13732460,10769517,2025-02-11,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
