TYP_CHU;SITECODE;HABITAT_CODE;ROZLOHA_PASEKY;ROZLOHA_HOLINY;POCET_SEGMENTU_PASEKY;DATUM_VYPOCTU
EVL;CZ0414127;5130;;;;2026-09-24
EVL;CZ0414127;6210;;;;2026-09-24
EVL;CZ0414127;6230;;;;2026-09-24
EVL;CZ0414127;6430;;;;2026-09-24
EVL;CZ0414127;6510;;;;2026-09-24
EVL;CZ0414127;8230;;;;2026-09-24
EVL;CZ0414127;8310;;;;2026-09-24
EVL;CZ0414127;9130;2,34354444401752e+02;140,13060134161427;394;2026-09-24
EVL;CZ0414127;9180;2,67799478133236e+01;9,82891012231699;102;2026-09-24
EVL;CZ0414127;40A0;;;;2026-09-24
EVL;CZ0414127;91E0;1,61993201477756e+01;5,68639849160148;99;2026-09-24
EVL;CZ0414127;91I0;2,42054050087793e+01;11,20333248458857;41;2026-09-24
EVL;CZ0814093;91E0;1,11796042438308e-01;0,00000000000000;3;2026-09-24
EVL;CZ0610145;91E0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0530020;8210;;;;2026-09-24
EVL;CZ0530020;9130;1,87510162386003e+01;3,37644009241890;51;2026-09-24
EVL;CZ0530020;9180;1,37425281887408e+00;0,00000000000000;10;2026-09-24
EVL;CZ0534054;3140;;;;2026-09-24
EVL;CZ0534054;6410;;;;2026-09-24
EVL;CZ0534054;6430;;;;2026-09-24
EVL;CZ0534054;7140;;;;2026-09-24
EVL;CZ0534054;91E0;1,58332663656603e+00;0,00000000000000;6;2026-09-24
EVL;CZ0714771;8310;;;;2026-09-24
EVL;CZ0320140;9130;2,97603949620497e+00;0,00000000000000;14;2026-09-24
EVL;CZ0320140;9180;2,03429039342282e-01;0,00000000000000;3;2026-09-24
EVL;CZ0210109;6210;;;;2026-09-24
EVL;CZ0210109;6410;;;;2026-09-24
EVL;CZ0210109;9170;5,13453305384821e-01;0,00000000000000;2;2026-09-24
EVL;CZ0320029;9170;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0320029;9180;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0710182;3150;;;;2026-09-24
EVL;CZ0710182;6410;;;;2026-09-24
